1,1235423.588235294118
2,1437463.500000000000
3,913222.189189189189
4,953721.232876712329
5,409308.769230769231
6,1181610.179487179487
7,327291.466019417476
8,397571.406250000000
9,111993.270000000000
10,179179.042553191489
11,367398.978947368421
12,171801.600000000000
13,476996.620253164557
14,325528.764044943820
15,310907.750000000000
16,222450.309859154930
17,356459.175675675676
18,470131.800000000000
19,494746.148936170213
20,344359.464788732394
21,803114.279069767442
22,284161.836734693878
23,629341.725806451613
24,96065.857142857143
25,375706.900000000000
26,1244052.909090909091
27,399392.736842105263
28,166619.178571428571
29,944374.720000000000
30,324485.857142857143
31,306081.689655172414
32,415976.047619047619
33,184385.434782608696
34,909889.800000000000
35,446995.428571428571
36,241191.066666666667
37,1161592.000000000000
38,80353.538461538462
39,709240.222222222222
40,244922.812500000000
41,104086.615384615385
42,2897357.555555555556
43,389236.400000000000
44,1344432.153846153846
45,1770114.200000000000
46,683458.222222222222
47,186077.153846153846
48,693753.923076923077
49,2834557.818181818182
50,51122.888888888889
51,182200.000000000000
52,81658.500000000000
53,157039.000000000000
54,532387.500000000000
55,57750.000000000000
56,134285.000000000000
57,206680.600000000000
58,151933.666666666667
59,66750.000000000000
60,33234.714285714286
61,239893.000000000000
62,131035.714285714286
63,15000.0000000000000000
64,78500.000000000000
65,145833.333333333333
66,1252060.000000000000
67,91500.000000000000
68,518748.000000000000
69,2804529.500000000000
70,156281.250000000000
71,91000.000000000000
72,48333.333333333333
73,760000.000000000000
74,42041.666666666667
75,66529.000000000000
76,20000.000000000000
78,670000.000000000000
80,3433250.000000000000
82,53899.333333333333
83,40000.000000000000
85,69693.000000000000
86,39000.000000000000
88,2554999.500000000000
89,346001.000000000000
90,52000.000000000000
91,51750.000000000000
93,402500.000000000000
95,700000.000000000000
96,40000.000000000000
100,55000.000000000000
103,201000.000000000000
104,787500.000000000000
114,40500.000000000000
117,70000.000000000000
125,121000.000000000000
132,191000.000000000000
137,506300.000000000000
175,1144999.000000000000
